,id,smiles,value_type,value,units
244,CHEMBL471297,CCc1ccc(C(C)(C)c2cc(O)c3c(c2)OC(C)(C)[C@@H]2CC=C(C)C[C@@H]32)cc1,Ki,0.67,nM
249,CHEMBL2380408,CCCCn1cc(-c2ccc3ccccc3c2)c2cccc(OC)c21,Ki,26.5,nM
250,CHEMBL2380417,CCCCn1cc(C(=O)c2cccc3ccccc23)c2cccc(O)c21,Ki,78.3,nM
251,CHEMBL1641952,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)cc1-c1ccc(Cl)cc1,Ki,79.0,nM
258,CHEMBL2348461,CC1(C)Oc2cc(C34CC5CC(CC(C5)C3)C4)cc(O)c2[C@@H]2C[C@H](O)CC[C@H]21,Ki,40.5,nM
260,CHEMBL381689,Cc1ccc(Cn2nc(C(=O)NC3C4(C)CCC(C4)C3(C)C)cc2-c2ccc(Cl)c(C)c2)cc1,EC50,1.8,nM
267,CHEMBL245876,Cc1ccc(C(=O)Oc2cccc3cccnc23)cc1S(=O)(=O)N1CCCCC1,Ki,25.12,nM
275,CHEMBL494408,CN(Cc1ccc(-c2ccccc2C(F)(F)F)cc1)CC(O)c1ccccc1,EC50,2.0,nM
277,CHEMBL494012,Clc1ccccc1Nc1ccc(CN2CCO[C@@H](c3ccccc3)C2)cn1,EC50,30.0,nM
278,CHEMBL510072,CCN(CC)C(=O)c1ccc2c(c1)nc(Cc1ccc(Oc3ccccc3)cc1)n2CCC(C)C,Ki,4.9,nM
281,CHEMBL498766,CCCCCN1C(=O)/C(=N\NC(=O)OC(C)(C)C)c2ccc(OC)cc21,EC50,15.9,nM
290,CHEMBL234675,Cc1cc(C)cc(-c2ccc(C(C)(C)CCCCCO)cc2O)c1,Ki,3.6,nM
294,CHEMBL246310,CSC(=S)N1CC(C)(C)CS/C1=N\c1cccc(C(C)C)c1,Ki,33.0,nM
313,CHEMBL3647329,C#CCCn1cc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1ONC(C)(C)C,Ki,15.0,nM
316,CHEMBL1215908,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(-c3ccc(Cl)s3)ccc21,Ki,44.8,nM
318,CHEMBL1215991,CCCCCn1cc(C(=O)N[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)c(=O)c2cc(Br)ccc21,Ki,5.0,nM
319,CHEMBL246516,CSC(=S)N1CC(C)(C)CS/C1=N\c1ccc(C(C)C)cc1,Ki,22.0,nM
329,CHEMBL417158,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCc1cccn1C,Ki,70.0,nM
330,CHEMBL2441454,CCCCCCn1c2ccccc2c2cc(C(=O)N3CCCCC3)ccc21,Ki,96.0,nM
332,CHEMBL3647310,CN1CCC[C@H]1COc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1CC1(O)CCC1,Ki,95.0,nM
333,CHEMBL1641937,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)cc1C(C)(C)C,Ki,29.0,nM
